HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
M'gladbach,RB Leipzig,2019-08-30,0,0,0,0,1,1,2,0,1,0,1,1,3,0,1,0,0,1,1,2
Bayern Munich,Mainz,2019-08-31,1,2,1,0,1,0,2,0,1,1,0,2,0,0,0,3,2,4,1,0
Freiburg,FC Koln,2019-08-31,0,0,3,0,2,1,1,0,1,0,0,3,0,1,1,1,1,0,0,2
Leverkusen,Hoffenheim,2019-08-31,2,2,1,0,3,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0
Schalke 04,Hertha,2019-08-31,0,1,0,2,0,0,0,0,0,1,0,2,2,1,0,1,1,2,0,0
Wolfsburg,Paderborn,2019-08-31,1,0,1,1,1,0,2,0,1,2,0,1,2,2,0,1,0,1,1,0
Union Berlin,Dortmund,2019-08-31,0,3,0,1,0,0,1,1,1,1,4,0,0,1,3,0,1,2,1,0
Werder Bremen,Augsburg,2019-09-01,0,1,1,2,1,0,1,3,0,0,1,1,1,1,0,4,2,1,1,1
Ein Frankfurt,Fortuna Dusseldorf,2019-09-01,1,0,0,0,0,1,1,1,0,3,1,0,1,0,2,1,0,2,1,0
Fortuna Dusseldorf,Wolfsburg,2019-09-13,0,3,1,0,1,0,0,2,0,1,1,0,1,0,2,0,1,0,1,0
Augsburg,Ein Frankfurt,2019-09-14,0,0,1,1,1,2,1,1,0,1,2,0,0,1,1,1,2,0,0,1
Dortmund,Leverkusen,2019-09-14,1,1,4,0,1,1,0,2,0,0,0,0,3,0,0,1,1,3,0,0
FC Koln,M'gladbach,2019-09-14,1,0,0,3,0,1,2,0,0,1,1,2,1,1,2,0,0,0,1,0
Mainz,Hertha,2019-09-14,1,1,0,2,1,2,0,4,0,1,0,2,0,1,0,2,1,1,0,1
Union Berlin,Werder Bremen,2019-09-14,1,1,2,0,0,0,1,1,2,1,1,1,1,0,1,3,1,0,1,1
RB Leipzig,Bayern Munich,2019-09-14,1,0,1,1,1,0,2,1,2,1,4,0,1,0,2,0,1,0,1,0
Hoffenheim,Freiburg,2019-09-15,0,1,3,1,0,0,0,0,1,0,0,2,2,1,1,0,0,0,2,1
Paderborn,Schalke 04,2019-09-15,1,2,0,1,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,4
Schalke 04,Mainz,2019-09-20,1,0,2,0,1,1,4,0,1,0,1,1,1,2,0,4,1,1,0,1
Bayern Munich,FC Koln,2019-09-21,2,1,4,0,1,1,0,0,0,1,0,0,0,1,2,0,1,3,0,0
Freiburg,Augsburg,2019-09-21,1,0,0,2,2,0,1,0,2,0,0,1,1,2,1,1,1,0,1,0
Hertha,Paderborn,2019-09-21,0,1,0,2,0,1,1,1,1,1,0,4,1,0,0,1,1,1,0,1
Leverkusen,Union Berlin,2019-09-21,0,0,0,0,0,1,0,3,1,1,0,1,0,0,1,1,2,0,0,0
Werder Bremen,RB Leipzig,2019-09-21,2,1,1,1,1,1,1,0,1,1,0,0,1,0,2,1,0,0,2,1
M'gladbach,Fortuna Dusseldorf,2019-09-22,0,1,1,2,1,0,0,0,1,1,0,0,1,0,0,2,0,2,1,0
Ein Frankfurt,Dortmund,2019-09-22,0,1,2,0,0,2,1,0,1,0,3,0,1,1,0,2,1,1,1,1
Wolfsburg,Hoffenheim,2019-09-23,0,1,1,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0
Union Berlin,Ein Frankfurt,2019-09-27,1,1,0,1,0,2,0,0,1,1,1,1,0,2,1,0,0,1,0,2
Augsburg,Leverkusen,2019-09-28,2,0,0,1,1,1,0,0,2,0,0,0,0,1,0,3,0,0,1,2
Hoffenheim,M'gladbach,2019-09-28,0,2,0,1,1,1,0,0,0,1,2,0,1,0,0,0,0,0,1,2
Mainz,Wolfsburg,2019-09-28,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
Paderborn,Bayern Munich,2019-09-28,1,1,0,4,0,1,1,1,1,0,3,0,1,1,0,0,0,2,1,2
RB Leipzig,Schalke 04,2019-09-28,1,1,0,0,2,0,1,0,1,0,1,1,1,1,4,0,0,1,2,1
Dortmund,Werder Bremen,2019-09-28,1,0,3,0,1,1,1,1,0,2,0,1,1,1,1,0,2,0,1,1
Fortuna Dusseldorf,Freiburg,2019-09-29,1,1,0,0,1,0,0,2,1,1,0,0,2,0,1,0,1,0,1,1
FC Koln,Hertha,2019-09-29,0,1,0,0,0,1,0,3,1,0,1,1,0,1,1,1,0,0,1,3
Hertha,Fortuna Dusseldorf,2019-10-04,1,0,1,1,1,0,3,0,1,1,0,1,1,0,0,2,2,1,1,0
Bayern Munich,Hoffenheim,2019-10-05,1,0,3,0,1,0,2,2,0,1,0,2,1,1,0,0,0,1,0,2
Freiburg,Dortmund,2019-10-05,1,1,0,0,1,1,1,0,2,1,0,1,1,1,1,1,0,2,1,1
Leverkusen,RB Leipzig,2019-10-05,2,0,0,0,1,0,2,0,0,2,1,1,2,0,1,0,0,1,0,1
Paderborn,Mainz,2019-10-05,0,1,2,2,0,1,1,1,0,1,0,0,0,1,1,1,1,0,2,0
Schalke 04,FC Koln,2019-10-05,1,0,1,1,2,0,1,1,0,1,0,3,0,1,0,3,0,1,0,1
M'gladbach,Augsburg,2019-10-06,0,1,2,0,1,0,2,0,0,1,0,2,1,1,0,0,4,1,0,1
Wolfsburg,Union Berlin,2019-10-06,1,1,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0
Ein Frankfurt,Werder Bremen,2019-10-06,1,1,1,1,0,0,2,1,0,2,0,1,1,2,1,0,0,2,1,1
Ein Frankfurt,Leverkusen,2019-10-18,0,1,2,1,0,0,2,1,0,0,1,1,1,0,2,0,2,1,0,0
Augsburg,Bayern Munich,2019-10-19,0,1,0,2,0,4,1,1,0,0,1,2,1,0,2,2,1,1,1,1
Fortuna Dusseldorf,Mainz,2019-10-19,1,1,0,1,1,2,0,1,0,1,0,0,2,1,0,0,0,1,0,0
RB Leipzig,Wolfsburg,2019-10-19,0,2,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1
Union Berlin,Freiburg,2019-10-19,0,0,1,2,0,0,0,1,0,1,2,1,1,1,1,0,1,1,0,0
Werder Bremen,Hertha,2019-10-19,0,2,0,1,1,0,1,2,2,1,1,0,1,0,3,0,1,0,0,1
Dortmund,M'gladbach,2019-10-19,2,1,0,1,1,0,1,2,4,0,1,1,1,0,2,0,0,1,0,0
FC Koln,Paderborn,2019-10-20,0,1,0,3,0,0,1,1,1,2,0,0,0,1,1,1,1,2,0,0
Hoffenheim,Schalke 04,2019-10-20,0,1,0,2,0,0,2,1,0,0,1,1,2,0,1,1,0,2,0,0
Mainz,FC Koln,2019-10-25,0,1,0,0,0,0,0,1,1,0,2,0,0,0,1,1,1,2,1,0
Bayern Munich,Union Berlin,2019-10-26,0,0,1,2,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
Freiburg,RB Leipzig,2019-10-26,0,1,2,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1
Hertha,Hoffenheim,2019-10-26,2,1,1,0,0,1,1,0,0,0,2,0,0,0,2,1,0,2,2,1
Paderborn,Fortuna Dusseldorf,2019-10-26,1,2,0,0,0,1,0,2,0,0,1,0,1,2,0,1,1,1,0,0
Schalke 04,Dortmund,2019-10-26,0,0,1,1,0,0,0,2,0,0,1,0,1,0,1,2,0,0,0,0
Leverkusen,Werder Bremen,2019-10-26,0,0,1,1,0,2,0,1,1,0,0,1,1,0,1,2,1,1,1,1
Wolfsburg,Augsburg,2019-10-27,0,0,1,0,0,0,1,1,1,1,1,1,0,4,1,1,0,0,0,0
M'gladbach,Ein Frankfurt,2019-10-27,4,0,1,1,0,0,0,1,2,0,1,0,0,0,2,1,2,2,0,2
Hoffenheim,Paderborn,2019-11-01,0,0,2,0,2,0,1,2,1,0,1,0,0,1,0,2,3,0,0,0
Dortmund,Wolfsburg,2019-11-02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0
Ein Frankfurt,Bayern Munich,2019-11-02,2,0,1,0,0,2,2,2,1,0,1,1,1,1,1,1,2,3,1,0
Leverkusen,M'gladbach,2019-11-02,1,1,1,1,0,2,0,1,2,0,2,2,0,0,0,1,1,0,2,0
RB Leipzig,Mainz,2019-11-02,0,0,1,1,0,1,1,1,1,1,2,0,0,0,0,1,5,3,0,0
Werder Bremen,Freiburg,2019-11-02,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
Union Berlin,Hertha,2019-11-02,1,0,1,0,0,1,1,1,0,2,2,1,0,1,1,0,0,1,0,0
Fortuna Dusseldorf,FC Koln,2019-11-03,0,0,1,0,0,1,0,1,1,0,2,0,1,1,0,2,1,1,0,0
Augsburg,Schalke 04,2019-11-03,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2
FC Koln,Hoffenheim,2019-11-08,1,0,2,0,0,1,0,1,3,0,0,0,2,0,1,2,1,0,0,2
Hertha,RB Leipzig,2019-11-09,0,2,2,1,0,0,0,1,5,0,3,0,0,1,1,1,1,1,2,2
Mainz,Union Berlin,2019-11-09,1,1,2,0,0,5,0,3,0,0,1,0,0,1,1,1,0,2,2,1
Paderborn,Augsburg,2019-11-09,1,0,1,0,0,3,0,0,1,1,1,2,0,0,0,0,0,0,1,0
Schalke 04,Fortuna Dusseldorf,2019-11-09,0,0,0,0,1,1,2,1,1,0,1,0,0,1,0,1,1,2,0,3
Bayern Munich,Dortmund,2019-11-09,1,0,1,1,1,2,0,3,0,0,3,0,0,0,0,0,1,3,0,0
M'gladbach,Werder Bremen,2019-11-10,2,0,2,2,2,1,0,0,1,1,1,1,1,1,1,1,2,1,0,1
Wolfsburg,Leverkusen,2019-11-10,0,0,0,0,0,0,0,3,1,2,0,0,0,2,0,1,0,0,1,1
Freiburg,Ein Frankfurt,2019-11-10,1,0,1,1,1,1,1,1,2,1,3,0,0,2,2,2,0,1,0,0
Dortmund,Paderborn,2019-11-22,0,0,3,0,0,1,0,3,0,1,0,0,0,3,0,0,0,3,3,0
Ein Frankfurt,Wolfsburg,2019-11-23,2,1,3,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,1,1
Fortuna Dusseldorf,Bayern Munich,2019-11-23,1,0,1,0,0,1,3,2,1,0,3,0,1,2,0,3,0,0,3,1
Leverkusen,Freiburg,2019-11-23,1,2,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0
Union Berlin,M'gladbach,2019-11-23,0,0,1,0,2,0,1,2,2,0,1,1,2,1,0,0,1,1,0,0
Werder Bremen,Schalke 04,2019-11-23,1,1,1,1,0,2,1,1,1,0,2,3,1,1,2,1,0,1,1,1
RB Leipzig,FC Koln,2019-11-23,5,0,3,0,2,1,2,1,1,0,0,2,0,1,0,1,3,1,1,0
Augsburg,Hertha,2019-11-24,1,1,1,2,1,0,0,0,1,2,1,2,0,0,0,1,2,2,0,0
Hoffenheim,Mainz,2019-11-24,3,0,0,0,0,1,2,0,0,2,2,1,0,5,0,3,0,1,1,4
Schalke 04,Union Berlin,2019-11-29,1,0,2,3,1,0,1,1,1,0,1,0,2,0,1,2,1,1,1,0
FC Koln,Augsburg,2019-11-30,1,0,0,2,1,3,0,1,2,0,2,0,1,0,0,0,0,1,1,0
Hertha,Dortmund,2019-11-30,1,2,1,2,0,2,0,2,0,3,3,0,0,1,0,3,1,0,2,0
Hoffenheim,Fortuna Dusseldorf,2019-11-30,0,1,1,4,0,1,2,0,0,3,0,1,0,1,3,2,1,0,0,1
Paderborn,RB Leipzig,2019-11-30,0,1,0,0,3,0,0,3,3,1,1,0,2,1,2,1,0,2,3,0
Bayern Munich,Leverkusen,2019-11-30,1,0,3,0,3,0,1,0,1,1,0,0,1,0,1,0,1,0,2,0
M'gladbach,Freiburg,2019-12-01,2,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,3,1,1
Wolfsburg,Werder Bremen,2019-12-01,0,1,0,1,1,0,1,0,0,1,1,1,0,2,1,1,1,1,2,1
Mainz,Ein Frankfurt,2019-12-02,0,2,2,1,1,0,4,1,0,1,0,1,0,0,0,1,0,2,1,0
Ein Frankfurt,Hertha,2019-12-06,0,1,0,1,1,0,0,2,1,2,0,0,0,2,0,2,0,2,1,1
Augsburg,Mainz,2019-12-07,2,0,2,0,1,0,0,1,0,1,2,0,1,0,4,1,1,1,1,0
Dortmund,Fortuna Dusseldorf,2019-12-07,0,3,3,0,2,1,0,0,0,3,0,1,0,1,1,0,1,4,0,0
Freiburg,Wolfsburg,2019-12-07,0,0,1,0,1,1,1,3,1,2,1,1,1,0,1,0,0,1,0,0
M'gladbach,Bayern Munich,2019-12-07,1,1,3,1,0,1,0,1,1,2,0,0,3,0,1,0,0,2,0,1
RB Leipzig,Hoffenheim,2019-12-07,3,1,1,0,3,0,0,2,1,0,0,1,0,1,2,0,1,2,0,1
Leverkusen,Schalke 04,2019-12-07,1,1,0,0,2,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1
Union Berlin,FC Koln,2019-12-08,1,0,1,0,1,1,0,1,0,1,1,0,1,3,0,1,1,1,0,0
Werder Bremen,Paderborn,2019-12-08,0,1,1,1,2,1,1,1,0,3,2,0,3,0,0,3,0,0,0,1
Hoffenheim,Augsburg,2019-12-13,1,0,0,1,0,1,1,2,1,1,1,0,1,0,0,1,1,1,1,3
Bayern Munich,Werder Bremen,2019-12-14,1,2,0,0,0,0,1,2,0,0,0,1,2,1,1,1,2,4,1,0
FC Koln,Leverkusen,2019-12-14,0,1,1,0,0,1,0,1,1,0,1,1,2,1,0,0,0,2,0,0
Hertha,Freiburg,2019-12-14,1,2,0,0,1,0,1,2,0,0,1,0,1,1,1,3,0,1,0,0
Mainz,Dortmund,2019-12-14,0,1,2,0,1,1,0,1,1,0,4,0,2,1,0,0,0,0,1,3
Paderborn,Union Berlin,2019-12-14,0,3,2,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0
Fortuna Dusseldorf,RB Leipzig,2019-12-14,0,3,0,1,0,1,0,4,1,0,2,1,3,0,0,2,0,0,1,2
Wolfsburg,M'gladbach,2019-12-15,1,2,1,1,0,0,0,1,0,0,2,1,0,1,0,1,1,1,1,0
Schalke 04,Ein Frankfurt,2019-12-15,1,1,1,0,0,1,1,1,0,1,2,1,1,0,0,2,0,1,0,0
Werder Bremen,Mainz,2019-12-17,0,0,0,1,1,2,0,4,0,1,0,3,1,1,0,1,0,0,4,1
Augsburg,Fortuna Dusseldorf,2019-12-17,1,1,1,0,1,1,3,1,0,1,0,2,0,1,0,4,1,2,0,0
Dortmund,RB Leipzig,2019-12-17,1,0,4,0,1,0,3,0,1,0,2,1,1,0,2,0,2,1,0,3
Union Berlin,Hoffenheim,2019-12-17,1,0,1,0,1,1,0,0,1,1,1,3,0,1,1,2,0,0,0,2
Leverkusen,Hertha,2019-12-18,1,0,1,1,0,0,0,2,0,0,1,0,1,0,1,2,0,0,0,1
Ein Frankfurt,FC Koln,2019-12-18,0,1,2,1,0,0,0,1,0,0,2,0,0,1,0,1,2,0,1,3
Freiburg,Bayern Munich,2019-12-18,0,0,1,0,0,0,0,1,2,1,4,0,0,0,1,2,0,1,1,2
M'gladbach,Paderborn,2019-12-18,0,0,2,1,1,1,0,1,1,1,0,0,0,0,1,0,0,2,0,0
Wolfsburg,Schalke 04,2019-12-18,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1
Hoffenheim,Dortmund,2019-12-20,1,1,1,3,0,0,2,0,2,0,1,3,1,0,3,0,0,2,1,0
Bayern Munich,Wolfsburg,2019-12-21,2,1,4,0,1,0,2,1,0,0,1,1,0,0,0,1,0,2,0,0
FC Koln,Werder Bremen,2019-12-21,0,0,2,0,1,2,3,0,0,4,0,1,1,2,0,4,1,0,0,0
Mainz,Leverkusen,2019-12-21,0,1,0,3,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1
RB Leipzig,Augsburg,2019-12-21,1,0,2,1,0,2,3,1,1,0,2,0,1,1,3,1,0,3,1,0
Schalke 04,Freiburg,2019-12-21,0,0,1,0,0,0,1,1,0,1,1,2,0,0,0,1,1,1,0,2
Hertha,M'gladbach,2019-12-21,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0
Fortuna Dusseldorf,Union Berlin,2019-12-22,0,1,0,2,0,1,0,2,0,0,0,2,1,1,0,0,1,1,0,1
Paderborn,Ein Frankfurt,2019-12-22,1,1,0,0,0,0,0,2,2,1,0,3,0,0,0,1,2,0,0,1
Schalke 04,M'gladbach,2020-01-17,1,0,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0
Augsburg,Dortmund,2020-01-18,1,0,2,0,1,0,0,3,2,0,1,3,1,0,0,2,1,2,0,5
FC Koln,Wolfsburg,2020-01-18,1,0,0,0,1,2,3,0,0,0,1,1,0,0,0,2,2,1,0,1
Fortuna Dusseldorf,Werder Bremen,2020-01-18,1,0,1,1,0,1,0,2,0,4,0,1,0,1,0,0,0,0,0,1
Hoffenheim,Ein Frankfurt,2020-01-18,0,1,2,0,0,0,2,0,2,1,0,3,0,2,1,0,0,1,1,1
Mainz,Freiburg,2020-01-18,0,0,0,1,4,0,1,0,0,1,1,2,0,1,2,1,0,1,2,0
RB Leipzig,Union Berlin,2020-01-18,0,1,3,0,0,2,3,1,0,0,0,2,0,1,1,1,0,3,1,0
